Tag,iGreen database tag name,Description,Units
,Not in Database, to be calcuated from the pump curve,Power of the HP pump - from VFD in MPD A,kW
,Not in Database, to be calcuated from the pump curve,Power of the circ pump - from VFD in MPD A,kW
,Not in Database, to be calcuated from the pump curve,Power of the circ pump - from VFD in MPD A,kW
AIT_400_001C_P.PV,Train C Product Conductivity (AIT-400-001C),Conductivity Product MPD,uS/cm
FIT_200_001C_P.PV,PT Feed Flow (FIT-200-001C),Seawater Inlet Flow MPD,Process Value in GPM
FIT_200_002C_P.PV,CW Pump P-200-002C  Discharge Flow (FIT-200-002C),PT Backwash Flow MPD,Process Value in GPM
FIT_200_004C_P.PV,CW Tank T-200-003C Feed Flow (FIT-200-004C),BW Tank Filling Flow,Process Value in GPM
FIT_400_001C_P.PV,Train C  Crine Flow (FIT-400-001C),Low Pressure Brine Flow MPD,Process Value in GPM
FIT_400_002C_P.PV,Train C  Product Flow (FIT-400-002C),Product Flow MPD,Process Value in GPM
LT_200_002C_P.PV,CW Tank T-200-003C Level (LIT-200-002C),Level Backwash Tank MPD,Level in Feet
P_200_001C_P.RPM_MV,RO Feed Pump P-200-001C  Actual Speed,RO Feed Pump- MPD,Speed reference
P_200_002C_P.RPM_MV,CW Pump P-200-002C  Actual Speed,BW Pump- MPD,Speed reference
P_400_001C_P.RPM_MV,P-400-001C  Actual Speed,ERS Circulation Pump - MPD,Speed reference
P_400_002C_P.RPM_MV,P-400-002C  Actual Speed,HP Pump - MPD,Speed reference
PDIT_200_001C_P.PV,Micronic Filters Diff. Pressure (PDIT-200-001C),Differential Pressure MF - MPD,Process Value in PSI
PDIT_400_001C_P.PV,Train A  Feed-Crine Diff. Pressure (PDIT-400-001C),Differential Pressure RO Train - MPD,Process Value in PSI
PDIT_400_002C_P.PV,P-400-002A Diff. Pressure (PDIT-400-002C),Differential Pressure ERS Cir. Pump - MPD,Process Value in PSI
PIT_400_003C_P.PV,P-400-002A Discharge Pressure (PIT-400-003C),Feed Pressure RO Train - MPD,Process Value in PSI
PT_200_005C_P.PV,Clower Discharge Pressure (PT-200-005C),Pressure air discharge Blower MPD,Process Value in PSI
PT_200_006C_P.PV,RO Feed Pump P-200-001A  Suction Pressure (PT-200-006C),Suction Pressure RO Feed Pump MPD,Process Value in PSI
PT_200C_Tags.Q_Filtrate_PV,RO Feed Pump P-200-001C  Discharge Flow (Calc.),Total Filtration Flow ,Process Value in GPM
PT_200C_Tags.Q_RO_Feed_PV,Train C  Feed Flow (Calc.),Flow to RO Unit,Process Value in GPM
PT_400_002C_P.PV,P-400-002C Suction Pressure (PT-400-002C),Suction Pressure HP Pump MPD,Process Value in PSI
Q_400_001C_P.PV,P-400-002C  Flow (Calc.),HP discharge flow ERS Cir Pump,Process Value in GPM
Q_400_002C,Flow to RO Unit,Feed Flow RO Train,Process Value in GPM
RO_300C_Tags.RO.Recovery,Train C Recovery PV,Recovery RO Train,Process Value in %
CV_900_004_P.CV,Product Off-Spec Valve CMND (XV-900-008) [note we need to find other tag: FIT_900_004 - FIT_900_002],Product Off-spec valve,Valve Reference
FIT_1000_001_P.PV,Flow Rejected Effluent,Brine Effluent Flow,Process Value in GPM
FIT_900_004_P.PV,UV System Effluent Flow (FIT-900-004),Permeate water flow to Post-Treatment,Process Value in GPM
FIT_900_005_P.PV,Dilution Water Flow (FIT-900-005),Permeate water flow to Lime delution,Process Value in GPM
FIT_900_006_P.PV,Slurry Preparation Water Flow (FIT-900-006) [no data but neglectable],Permeate water flow to Lime Batch Tank,Process Value in GPM
PIT_900_002_1_P.PV,P-900-001/1 Suction Pressure (PIT-900-002/1),Suction pressure Product pump 1,ppm Process Value in PSI
PIT_900_002_2_P.PV,P-900-001/2 Suction Pressure (PIT-900-002/2),Suction pressure Product pump 2,ppm Process Value in PSI
PDIT_700_001_P.PV,CIP Micronic Filter (PDIT-700-001),Differential Pressure Micron Filters Cleaning,ppm Process Value in PSI
PIT_250_001_P.PV,Not being logged, but no effect on operations/energy,Pressure filter press,ppm Process Value in PSI
Q_Brine_Pumps,Calc Rejected Effluent [to be verified],Calculated Flow,Calculated Pump flow
PSCA_kW,PSCA_kW,PSCA Measured Power,PSCA power = PSCA_kW * 2.76405
PowerDesal_pf,PowerDesal_pf,CMDP Power Factor,
PowerDesal_kVA,PowerDesal_kVA,CMDP Real Power,Desal power = kVA * pf 
